a_node_id,b_node_id,distance,a_node_lat,a_node_lon,b_node_lat,b_node_lon
1490151975,2295538492,0.000101,40.377208,49.846411,40.377257,49.846322
2295538492,1908775978,0.000079,40.377257,49.846322,40.377307,49.846261
1908775978,3880383895,0.000731,40.377307,49.846261,40.377961,49.845933
3880383895,3880383897,0.000087,40.377961,49.845933,40.378042,49.845902
3880383897,3880383898,0.000055,40.378042,49.845902,40.378097,49.845894
3880383898,1490151985,0.000066,40.378097,49.845894,40.378162,49.845901
4889443468,4889443467,0.000045,40.382751,49.829288,40.382755,49.829333
4889443467,632725448,0.000045,40.382755,49.829333,40.382760,49.829378
3755639170,1310960155,0.000614,40.376041,49.829201,40.376218,49.829789
1310960155,1310960159,0.001040,40.376218,49.829789,40.376495,49.830792
1310960159,1310960154,0.000633,40.376495,49.830792,40.376648,49.831406
1310960154,1846847211,0.000503,40.376648,49.831406,40.376773,49.831893
1104367821,3828611858,0.000887,40.380509,49.832780,40.380316,49.831915
3828611858,632725465,0.000724,40.380316,49.831915,40.380162,49.831207
1311583645,3828611928,0.000906,40.381524,49.832378,40.381323,49.831495
3828611928,632725467,0.000675,40.381323,49.831495,40.381174,49.830837
632725467,632725441,0.000817,40.381174,49.830837,40.381007,49.830037
632725441,1311517840,0.000573,40.381007,49.830037,40.380886,49.829477
1311583643,1311583666,0.000948,40.378609,49.829237,40.378797,49.830166
1311583666,3828386014,0.000662,40.378797,49.830166,40.378918,49.830817
632725471,632725446,0.000807,40.382524,49.830324,40.382356,49.829535
3828386014,3828611687,0.000108,40.378918,49.830817,40.378823,49.830869
3828611687,1310960162,0.000123,40.378823,49.830869,40.378732,49.830950
1310960162,1846803491,0.000394,40.378732,49.830950,40.378455,49.831231
1846803491,1846803490,0.000186,40.378455,49.831231,40.378300,49.831335
1846803490,4021864017,0.000209,40.378300,49.831335,40.378109,49.831418
4021864017,4021864019,0.000377,40.378109,49.831418,40.377753,49.831541
4021864019,1846847211,0.001042,40.377753,49.831541,40.376773,49.831893
1311583666,1311517931,0.001270,40.378797,49.830166,40.377568,49.830487
1311517931,1310960159,0.001115,40.377568,49.830487,40.376495,49.830792
1792957045,632725471,0.000993,40.382742,49.831293,40.382524,49.830324
1846803489,4021864019,0.000118,40.377779,49.831657,40.377753,49.831541
4021864019,3871142514,0.000546,40.377753,49.831541,40.377659,49.831003
3871142514,1311517931,0.000524,40.377659,49.831003,40.377568,49.830487
1311517931,1311517888,0.001008,40.377568,49.830487,40.377371,49.829499
1104367782,276374011,0.001638,40.382739,49.847625,40.382326,49.846041
276370538,276370539,0.000770,40.369260,49.842734,40.369502,49.843465
276370539,4475530721,0.002001,40.369502,49.843465,40.370116,49.845369
4475530721,276371827,0.000317,40.370116,49.845369,40.370212,49.845671
276876523,276876492,0.000616,40.369662,49.839507,40.369970,49.840041
1772368651,4549661129,0.000800,40.377410,49.858568,40.376638,49.858776
4549661129,1103964638,0.000132,40.376638,49.858776,40.376510,49.858811
1103964638,4549646801,0.000075,40.376510,49.858811,40.376437,49.858828
4549646801,4600398333,0.000496,40.376437,49.858828,40.375968,49.858986
4600398333,4600329359,0.000166,40.375968,49.858986,40.375811,49.859042
4600329359,3915960159,0.000160,40.375811,49.859042,40.375660,49.859093
1472897482,3889296934,0.000898,40.379467,49.853447,40.380288,49.853083
3889296934,3889297016,0.000654,40.380288,49.853083,40.380886,49.852817
3889297016,3889297026,0.000050,40.380886,49.852817,40.380936,49.852812
3889297026,1902169308,0.000040,40.380936,49.852812,40.380970,49.852831
1473217237,1855183542,0.000076,40.371998,49.840589,40.372004,49.840665
1855183542,1473217236,0.000143,40.372004,49.840665,40.371881,49.840737
1473217236,1473217224,0.000518,40.371881,49.840737,40.371408,49.840950
1473217224,1473217221,0.000063,40.371408,49.840950,40.371346,49.840952
1473217221,1473217220,0.000108,40.371346,49.840952,40.371256,49.840893
1473217220,1473217217,0.000082,40.371256,49.840893,40.371211,49.840824
1473217217,1473217215,0.000548,40.371211,49.840824,40.371070,49.840295
1473217215,1473217216,0.000077,40.371070,49.840295,40.371066,49.840218
1473217216,1855183523,0.000125,40.371066,49.840218,40.371118,49.840104
1855183523,1473217229,0.000725,40.371118,49.840104,40.371681,49.839648
1473217229,1473217231,0.000087,40.371681,49.839648,40.371767,49.839654
1473217231,3904292500,0.000072,40.371767,49.839654,40.371809,49.839714
3904292500,1473217234,0.000466,40.371809,49.839714,40.371914,49.840167
1473217216,3131825986,0.000052,40.371066,49.840218,40.371111,49.840242
3131825986,1473217223,0.000317,40.371111,49.840242,40.371390,49.840393
1473217218,1473217220,0.000034,40.371242,49.840925,40.371256,49.840893
1473217220,1473217222,0.000395,40.371256,49.840893,40.371410,49.840530
1855183540,1473217234,0.000306,40.371990,49.840464,40.371914,49.840167
1473217234,1473217227,0.000332,40.371914,49.840167,40.371611,49.840304
1855183540,1473217238,0.000140,40.371990,49.840464,40.372027,49.840598
1473217238,1473217237,0.000031,40.372027,49.840598,40.371998,49.840589
